"section_number","section_title","description","example_use_cases","punishment"
"368","Wrongfully concealing or keeping in confinement, kidnapped or abducted person","Whoever, knowing that any person has been kidnapped or has been abducted, wrongfully conceals or confines such person, shall be punished.","Hiding a person who has been kidnapped by someone else.","Punishment for the same term as for kidnapping or abducting that person."
"369","Kidnapping or abducting child under ten years with intent to steal from its person","Whoever kidnaps or abducts any child under the age of ten years with the intention of taking any property from the person of such child, shall be punished.","Stealing a young child to rob them of jewellery they are wearing.","Imprisonment up to seven years and fine."
"370","Trafficking of person","Whoever, for the purpose of exploitation, recruits, transports, harbours, transfers, or receives a person, by using threats, force, or other forms of coercion, abduction, fraud, deception, abuse of power, or by giving payments or benefits, commits the offence of trafficking.","Recruiting people with false promises of jobs and forcing them into prostitution or bonded labour.","Imprisonment not less than seven years but which may extend to ten years, and fine. For more than one person, or a minor: imprisonment not less than ten years which may extend to life, and fine."
"370A","Exploitation of a trafficked person","Whoever, knowingly or having reason to believe that a person has been trafficked, engages such person for exploitation, shall be punished.","Using a trafficked person as forced labour or in the sex trade.","Imprisonment not less than five years but which may extend to seven years, and fine."
"371","Habitual dealing in slaves","Whoever habitually imports, exports, removes, buys, sells, traffics or deals in slaves, shall be punished.","Operating a business that trades in people as slaves.","Imprisonment for life, or imprisonment up to ten years, and fine."
"372","Selling minor for purposes of prostitution, etc.","Whoever sells, lets to hire, or otherwise disposes of any person under the age of eighteen years with the intent that such person shall be employed or used for the purpose of prostitution or illicit intercourse, shall be punished.","Selling one's own child to a brothel.","Imprisonment up to ten years and fine."
"373","Buying minor for purposes of prostitution, etc.","Whoever buys, hires or otherwise obtains possession of any person under the age of eighteen years with the intent that such person shall be employed or used for the purpose of prostitution or illicit intercourse, shall be punished.","Purchasing a minor to work in a brothel.","Imprisonment up to ten years and fine."
"374","Unlawful compulsory labour","Whoever unlawfully compels any person to labour against the will of that person, shall be punished.","Forcing someone to work without pay and against their will.","Imprisonment up to one year, or fine, or both."
"375","Rape","A man is said to commit ""rape"" if he has sexual intercourse with a woman against her will, without her consent, with her consent when obtained under fear of death or hurt, with her consent when the man knows he is not her husband, or with a woman under eighteen years of age with or without her consent.","Sexual assault involving penetration without consent.","Punishment as per Section 376."
"376","Punishment for rape","Whoever, except in the cases provided for in subsection (2), commits rape, shall be punished.","The basic offence of rape.","Rigorous imprisonment not less than ten years but which may extend to imprisonment for life, and fine."
"376A","Intercourse by a man with his wife during separation","Whoever has sexual intercourse with his own wife, who is living separately from him under a decree of separation or under any custom or usage, without her consent, shall be punished.","Marital rape during a period of judicial separation.","Imprisonment up to two years and fine."
"376B","Sexual intercourse by public servant with woman in his custody","Whoever, being a public servant, takes advantage of his official position and induces or seduces any woman in his custody to have sexual intercourse with him, shall be punished.","A police officer having sex with a woman in his custody.","Imprisonment not less than five years but which may extend to ten years, and fine."
"376C","Sexual intercourse by superintendent of jail, remand home, etc.","Whoever, being the superintendent or manager of a jail, remand home or other institution, has sexual intercourse with any inmate, shall be punished.","A jail warden having sex with a prisoner.","Imprisonment not less than five years but which may extend to ten years, and fine."
"376D","Sexual intercourse by any person with any woman in custody","Whoever, being on the management or staff of a hospital, has sexual intercourse with any woman in that hospital, shall be punished.","A hospital staff member having sex with a patient.","Imprisonment not less than five years but which may extend to ten years, and fine."
"376E","Punishment for repeat offenders","Whoever has been previously convicted of an offence punishable under Section 376 or 376A to 376D and is subsequently convicted of an offence punishable under any of these sections, shall be punished.","A person convicted of rape commits another rape after release.","Imprisonment for life which shall mean imprisonment for the remainder of that person's natural life, or death."
"377","Unnatural offences","Whoever voluntarily has carnal intercourse against the order of nature with any man, woman or animal, shall be punished.","Anal intercourse, bestiality.","Imprisonment for life, or imprisonment up to ten years, and fine."
"378","Theft","Whoever, intending to take dishonestly any movable property out of the possession of any person without that person's consent, moves that property in order to such taking, is said to commit theft.","Taking someone's phone without their permission.","Punishment as per Section 379."
"379","Punishment for theft","Whoever commits theft shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.","Shoplifting; pickpocketing.","Imprisonment up to three years, or fine, or both."
"380","Theft in dwelling house, etc.","Whoever commits theft in any building, tent or vessel used as a human dwelling, or used for the custody of property, shall be punished.","Breaking into a house and stealing valuables.","Imprisonment up to seven years and fine."
"381","Theft by clerk or servant of property in possession of master","Whoever, being a clerk or servant, commits theft in respect of any property in the possession of his master or employer, shall be punished.","A domestic servant stealing jewelry from the employer's house.","Imprisonment up to seven years and fine."
"382","Theft after preparation made for causing death, hurt or restraint in order to the committing of the theft","Whoever commits theft, having made preparation for causing death, hurt or restraint to any person in order to the committing of such theft, shall be punished.","Carrying a weapon while committing theft to use if confronted.","Rigorous imprisonment up to ten years and fine."
"383","Extortion","Whoever intentionally puts any person in fear of any injury to that person or to any other, and thereby dishonestly induces the person so put in fear to deliver to any person any property or valuable security, commits extortion.","Threatening to harm someone unless they give you money.","Punishment as per Section 384."
"384","Punishment for extortion","Whoever commits extortion shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.","Demanding money through threats.","Imprisonment up to three years, or fine, or both."
"385","Putting person in fear of injury in order to commit extortion","Whoever, in order to commit extortion, puts any person in fear of any injury, shall be punished.","Threatening someone as a preliminary to making a demand for money.","Imprisonment up to two years, or fine, or both."
"386","Extortion by putting a person in fear of death or grievous hurt","Whoever commits extortion by putting any person in fear of death or grievous hurt to that person or to any other, shall be punished.","Threatening to kill someone unless they pay a ransom.","Imprisonment up to ten years and fine."
"387","Extortion by putting a person in fear of death or grievous hurt","Whoever, in order to commit extortion, puts any person in fear of death or grievous hurt to that person or to any other, shall be punished.","Making a threat of serious harm to prepare for extortion.","Imprisonment up to seven years and fine."
"388","Extortion by threat of accusation of an offence punishable with death, etc.","Whoever commits extortion by putting any person in fear of an accusation against that person or any other of having committed an offence punishable with death, imprisonment for life, or imprisonment for ten years, shall be punished.","Threatening to falsely accuse someone of a serious crime unless they pay money.","Imprisonment up to ten years and fine."
"389","Putting person in fear of accusation of offence, in order to commit extortion","Whoever, in order to commit extortion, puts any person in fear of an accusation against that person or any other of having committed an offence punishable with death, imprisonment for life, or imprisonment for ten years, shall be punished.","Threatening to frame someone for a serious crime to extort money.","Imprisonment up to ten years and fine."
"390","Robbery","In all robbery there is either theft or extortion. Theft is robbery if it is committed in order to or while committing theft, the offender causes or attempts to cause to any person death, hurt or wrongful restraint. Extortion is robbery if the offender induces the person put in fear to deliver up the property at the time and place of the extortion.","Snatching a purse and pushing the owner to the ground.","Punishment as per Section 392."
"391","Dacoity","When five or more persons conjointly commit or attempt to commit a robbery, they are said to commit dacoity.","A gang of five people committing a bank robbery.","Punishment as per Section 395."
"392","Punishment for robbery","Whoever commits robbery shall be punished with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine; if the robbery is committed on the highway between sunset and sunrise, the imprisonment may be extended to fourteen years.","Mugging someone on the street.","Rigorous imprisonment up to ten years, and fine. On highway between sunset and sunrise: up to fourteen years."
"393","Attempt to commit robbery","Whoever attempts to commit robbery shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine.","Attempting to mug someone but being fought off.","Rigorous imprisonment up to seven years and fine."
"394","Voluntarily causing hurt in committing robbery","If any person, in committing or in attempting to commit robbery, voluntarily causes hurt, such person shall be punished.","Causing injury to a victim during a robbery.","Imprisonment for life, or rigorous imprisonment up to ten years, and fine."
"395","Punishment for dacoity","Whoever commits dacoity shall be punished with imprisonment for life, or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.","A gang robbery involving five or more persons.","Imprisonment for life, or rigorous imprisonment up to ten years, and fine."
"396","Dacoity with murder","If any one of five or more persons who are conjointly committing dacoity commits murder in so committing dacoity, every one of those persons shall be punished with death, imprisonment for life, or rigorous imprisonment for ten years.","A member of a dacoity gang kills a victim during the robbery.","Death, imprisonment for life, or rigorous imprisonment up to ten years."
"397","Robbery or dacoity, with attempt to cause death or grievous hurt","If, at the time of committing robbery or dacoity, the offender uses any deadly weapon, or causes grievous hurt to any person, or attempts to cause death or grievous hurt, he shall be punished.","Using a knife or gun during a robbery.","Rigorous imprisonment for not less than seven years."
"398","Attempt to commit robbery or dacoity when armed with deadly weapon","If, at the time of attempting to commit robbery or dacoity, the offender is armed with any deadly weapon, the imprisonment shall not be less than seven years.","Being caught with a weapon while planning a robbery.","Rigorous imprisonment for not less than seven years."
"399","Making preparation to commit dacoity","Whoever makes any preparation for committing dacoity, shall be punished with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.","Gathering weapons and planning a route for a gang robbery.","Rigorous imprisonment up to ten years and fine."
"400","Punishment for belonging to gang of dacoits","Whoever, at any time after the passing of this Act, shall belong to a gang of persons associated for the purpose of habitually committing dacoity, shall be punished.","Being a member of a gang known for repeated robberies.","Imprisonment for life, or rigorous imprisonment up to ten years, and fine."
"401","Punishment for belonging to gang of thieves","Whoever, at any time after the passing of this Act, shall belong to any wandering or other gang of persons associated for the purpose of habitually committing theft or robbery, shall be punished.","Being part of a organized theft ring.","Rigorous imprisonment up to seven years and fine."
"402","Assembling for purpose of committing dacoity","Whoever, at any time after the passing of this Act, shall be one of five or more persons assembled for the purpose of committing dacoity, shall be punished.","Meeting with four others to plan and execute a robbery.","Rigorous imprisonment up to seven years and fine."
"403","Dishonest misappropriation of property","Whoever dishonestly misappropriates or converts to his own use any movable property, shall be punished.","Finding a lost phone and keeping it instead of returning it.","Imprisonment up to two years, or fine, or both."
"404","Dishonest misappropriation of property possessed by deceased person at the time of his death","Whoever dishonestly misappropriates or converts to his own use property, knowing that it was in the possession of a deceased person at the time of that person's death, shall be punished.","Stealing jewelry from a dead body.","Imprisonment up to three years and fine. If by clerk or servant: imprisonment up to seven years and fine."
"405","Criminal breach of trust","Whoever, being in any manner entrusted with property, dishonestly misappropriates or converts that property to his own use, shall be committed criminal breach of trust.","A banker misusing a client's funds; a trustee stealing from the trust.","Punishment as per Section 406."
"406","Punishment for criminal breach of trust","Whoever commits criminal breach of trust shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.","An employee stealing company funds.","Imprisonment up to three years, or fine, or both."
"407","Criminal breach of trust by carrier, etc.","Whoever, being entrusted with property as a carrier, wharfinger or warehouse-keeper, commits criminal breach of trust, shall be punished.","A shipping company losing or stealing goods in transit.","Imprisonment up to seven years and fine."
"408","Criminal breach of trust by clerk or servant","Whoever, being a clerk or servant, commits criminal breach of trust in respect of any property entrusted to him, shall be punished.","An accountant embezzling company money.","Imprisonment up to seven years and fine."
"409","Criminal breach of trust by public servant, or by banker, merchant or agent","Whoever, being a public servant, banker, merchant, or agent, commits criminal breach of trust, shall be punished.","A government officer misusing public funds; a bank manager stealing deposits.","Imprisonment for life, or imprisonment up to ten years, and fine."
"410","Stolen property","Property, the possession whereof has been transferred by theft, extortion, or robbery, is called stolen property.","Defines stolen property for subsequent sections.","Not a penal section; it is a definition clause."
"411","Dishonestly receiving stolen property","Whoever dishonestly receives or retains any stolen property, knowing it to be stolen property, shall be punished.","Buying a phone knowing it was stolen.","Imprisonment up to three years, or fine, or both."
"412","Dishonestly receiving property stolen in the commission of a dacoity","Whoever dishonestly receives or retains any stolen property, knowing it to have been stolen in the commission of a dacoity, shall be punished.","Receiving goods taken during a gang robbery.","Imprisonment for life, or rigorous imprisonment up to ten years, and fine."
"413","Habitually dealing in stolen property","Whoever habitually receives or deals in property which he knows or has reason to believe to be stolen property, shall be punished.","Operating a business that sells stolen goods.","Imprisonment for life, or imprisonment up to ten years, and fine."
"414","Assisting in concealment of stolen property","Whoever voluntarily assists in concealing or disposing of stolen property, knowing it to be stolen, shall be punished.","Helping to hide stolen goods.","Imprisonment up to three years, or fine, or both."
"415","Cheating","Whoever, by deceiving any person, fraudulently or dishonestly induces that person to deliver any property, or to consent to retain any property, is said to cheat.","Defines cheating for subsequent sections.","Not a penal section; it is a definition clause."
"416","Cheating by personation","A person is said to cheat by personation if he cheats by pretending to be some other person, or by knowingly substituting one person for another.","Impersonating someone else to collect their money or benefits.","Punishment as per Section 419."
"417","Punishment for cheating","Whoever cheats shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.","A simple case of fraud.","Imprisonment up to one year, or fine, or both."
"418","Cheating with knowledge that wrongful loss may ensue to person whose interest offender is bound to protect","Whoever cheats with the knowledge that he is likely thereby to cause wrongful loss to a person whose interest he is bound to protect, shall be punished.","A lawyer cheating his client.","Imprisonment up to three years, or fine, or both."
"419","Punishment for cheating by personation","Whoever cheats by personation shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.","Impersonating someone in an exam or to obtain a passport.","Imprisonment up to three years, or fine, or both."
"420","Cheating and dishonestly inducing delivery of property","Whoever cheats and thereby dishonestly induces the person deceived to deliver any property, shall be punished.","A large-scale fraud involving delivery of property or money.","Imprisonment up to seven years and fine."
"421","Dishonest or fraudulent removal or concealment of property to prevent distribution among creditors","Whoever dishonestly removes, conceals, or delivers to any person any property to prevent it from being taken in execution of a decree, shall be punished.","Hiding assets to avoid paying debts.","Imprisonment up to two years, or fine, or both."
"422","Dishonestly or fraudulently preventing debt being available for creditors","Whoever dishonestly prevents a debt from being made available for his creditors, shall be punished.","Helping a debtor hide their assets.","Imprisonment up to two years, or fine, or both."
"423","Dishonest or fraudulent execution of deed of transfer containing false statement of consideration","Whoever dishonestly signs a document that contains a false statement about its value or consideration, shall be punished.","Forging a deed of sale with a false price.","Imprisonment up to two years, or fine, or both."
"424","Dishonest or fraudulent removal or concealment of property","Whoever dishonestly conceals or removes any property of himself or another, shall be punished.","Hiding property to avoid seizure.","Imprisonment up to two years, or fine, or both."
"425","Mischief","Whoever, with intent to cause wrongful loss or damage to the public or any person, causes the destruction of property, or such change that destroys its value or utility, commits mischief.","Vandalizing a car; breaking windows.","Punishment as per Section 426."
"426","Punishment for mischief","Whoever commits mischief shall be punished with imprisonment of either description for a term which may extend to three months, or with fine, or with both.","Minor vandalism.","Imprisonment up to three months, or fine, or both."
"427","Mischief causing damage to the amount of fifty rupees","Whoever commits mischief and thereby causes loss or damage to the amount of fifty rupees or upwards, shall be punished.","Causing significant property damage.","Imprisonment up to two years, or fine, or both."
"428","Mischief by killing, poisoning, maiming or rendering useless any animal","Whoever commits mischief by killing, poisoning, maiming or rendering useless any animal worth ten rupees or more, shall be punished.","Poisoning a neighbor's dog.","Imprisonment up to two years, or fine, or both."
"429","Mischief by killing, poisoning, maiming or rendering useless any animal","Whoever commits mischief by killing, poisoning, maiming or rendering useless any elephant, camel, horse, etc., or any animal worth fifty rupees or more, shall be punished.","Killing a valuable cow or horse.","Imprisonment up to five years, or fine, or both."
"430","Mischief by injury to works of irrigation or by wrongfully diverting water","Whoever commits mischief by injury to any irrigation work, or wrongfully diverts water, shall be punished.","Damaging a canal or dam; illegally diverting a water source.","Imprisonment up to five years, or fine, or both."
"431","Mischief by injury to public road, bridge, river or channel","Whoever commits mischief by injury to any public road, bridge, river or channel, shall be punished.","Damaging a public bridge.","Imprisonment up to five years, or fine, or both."
"432","Mischief by causing inundation or obstruction to public drainage attended with damage","Whoever commits mischief by causing an inundation or obstruction to any public drainage, shall be punished.","Blocking a public drain causing flooding.","Imprisonment up to five years, or fine, or both."
"433","Mischief by destroying, moving or rendering less useful a lighthouse or sea-mark","Whoever commits mischief by destroying or moving a lighthouse or other sea-mark, shall be punished.","Tampering with navigation aids.","Imprisonment up to seven years, or fine, or both."
"434","Mischief by destroying or moving, etc., a landmark fixed by public authority","Whoever commits mischief by destroying or moving a landmark fixed by public authority, shall be punished.","Removing a boundary stone.","Imprisonment up to one year, or fine, or both."
"435","Mischief by fire or explosive substance with intent to cause damage","Whoever commits mischief by fire or explosive substance intending to cause damage, shall be punished.","Arson of a building or property.","Imprisonment up to seven years and fine."
"436","Mischief by fire or explosive substance with intent to destroy house, etc.","Whoever commits mischief by fire or explosive substance intending to destroy a house, shall be punished.","Setting a house on fire.","Imprisonment for life, or imprisonment up to ten years, and fine."
"437","Mischief with intent to destroy or make unsafe a decked vessel or one of twenty tons burden","Whoever commits mischief to a ship or vessel, intending to destroy it or make it unsafe, shall be punished.","Sabotaging a boat.","Imprisonment up to ten years and fine."
"438","Punishment for the mischief described in section 437 committed by fire or explosive substance","Whoever commits mischief described in the previous section by fire or explosive substance, shall be punished.","Setting a ship on fire.","Imprisonment for life, or imprisonment up to ten years, and fine."
"439","Punishment for intentionally running vessel aground or ashore with intent to commit theft, etc.","Whoever intentionally runs a vessel aground or ashore, intending to commit theft or mischief, shall be punished.","Intentionally grounding a ship to loot it.","Imprisonment up to ten years and fine."
"440","Mischief committed after preparation made for causing death or hurt","Whoever commits mischief, having made preparation for causing death or hurt, shall be punished.","Preparing to use force while committing vandalism.","Imprisonment up to five years and fine."
"441","Criminal trespass","Whoever enters into or upon property in the possession of another with intent to commit an offence or to intimidate, insult or annoy any person in possession of such property, commits criminal trespass.","Entering someone's land with the intent to steal or threaten.","Punishment as per Section 447."
"442","House-trespass","Whoever commits criminal trespass by entering into any building, tent or vessel used as a human dwelling, commits house-trespass.","Breaking into a house.","Punishment as per Section 448."
"443","Lurking house-trespass","Whoever commits house-trespass having taken precautions to conceal such trespass from the owner, commits lurking house-trespass.","Sneaking into a house at night to avoid being seen.","Punishment as per Section 453."
"444","Lurking house-trespass by night","Whoever commits lurking house-trespass after sunset and before sunrise, commits lurking house-trespass by night.","Sneaking into a house at night.","Punishment as per Section 456."
"445","House-breaking","A person is said to commit house-breaking who commits house-trespass if he enters through a passage not intended for entrance, or by any means that amounts to breaking.","Breaking a window to enter a house.","Punishment as per Section 453."
"446","House-breaking by night","Whoever commits house-breaking after sunset and before sunrise, commits house-breaking by night.","Breaking into a house at night.","Punishment as per Section 456."
"447","Punishment for criminal trespass","Whoever commits criminal trespass shall be punished with imprisonment of either description for a term which may extend to three months, or with fine up to five hundred rupees, or with both.","Trespassing on someone's property.","Imprisonment up to three months, or fine up to five hundred rupees, or both."
"448","Punishment for house-trespass","Whoever commits house-trespass shall be punished with imprisonment of either description for a term which may extend to one year, or with fine up to one thousand rupees, or with both.","Entering someone's house without permission.","Imprisonment up to one year, or fine up to one thousand rupees, or both."
"449","House-trespass in order to commit offence punishable with death","Whoever commits house-trespass in order to commit an offence punishable with death, shall be punished.","Entering a house to commit murder.","Imprisonment for life, or rigorous imprisonment up to ten years, and fine."
"450","House-trespass in order to commit offence punishable with imprisonment for life","Whoever commits house-trespass in order to commit an offence punishable with imprisonment for life, shall be punished.","Entering a house to commit rape.","Imprisonment up to ten years and fine."
"451","House-trespass in order to commit offence punishable with imprisonment","Whoever commits house-trespass in order to commit an offence punishable with imprisonment, shall be punished.","Entering a house to commit theft.","Imprisonment up to two years and fine."
"452","House-trespass after preparation for hurt, assault or wrongful restraint","Whoever commits house-trespass, having made preparation for causing hurt, assault, or wrongful restraint, shall be punished.","Entering a house armed with a weapon.","Imprisonment up to seven years and fine."
"453","Punishment for lurking house-trespass or house-breaking","Whoever commits lurking house-trespass or house-breaking, shall be punished with imprisonment of either description for a term which may extend to two years, and shall also be liable to fine.","Sneaking into a house.","Imprisonment up to two years and fine."
"454","Lurking house-trespass or house-breaking in order to commit offence punishable with imprisonment","Whoever commits lurking house-trespass or house-breaking in order to commit an offence punishable with imprisonment, shall be punished.","Sneaking into a house to commit theft.","Imprisonment up to three years and fine. If the offence is theft: imprisonment up to ten years."
"455","Lurking house-trespass or house-breaking after preparation for hurt, assault or wrongful restraint","Whoever commits lurking house-trespass or house-breaking, having made preparation for causing hurt, shall be punished.","Sneaking into a house armed with a weapon.","Imprisonment up to ten years and fine."
"456","Punishment for lurking house-trespass or house-breaking by night","Whoever commits lurking house-trespass or house-breaking by night, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.","Sneaking into a house at night.","Imprisonment up to three years and fine."
"457","Lurking house-trespass or house-breaking by night in order to commit offence punishable with imprisonment","Whoever commits lurking house-trespass or house-breaking by night in order to commit an offence punishable with imprisonment, shall be punished.","Breaking into a house at night to commit theft.","Imprisonment up to five years and fine. If the offence is theft: imprisonment up to fourteen years."
"458","Lurking house-trespass or house-breaking by night after preparation for hurt, assault or wrongful restraint","Whoever commits lurking house-trespass or house-breaking by night, having made preparation for causing hurt, shall be punished.","Breaking into a house at night armed with a weapon.","Imprisonment up to fourteen years and fine."
"459","Grievous hurt caused whilst committing lurking house-trespass or house-breaking","If any person, whilst committing lurking house-trespass or house-breaking, causes grievous hurt, he shall be punished.","Causing serious injury to a homeowner during a break-in.","Imprisonment for life, or imprisonment up to ten years, and fine."
"460","Death or grievous hurt caused by one of several persons jointly concerned in house-breaking by night","If, when several persons are jointly committing house-breaking by night, one of them causes grievous hurt or death, all are guilty of this offence.","A member of a gang breaking into a house at night kills the owner.","Imprisonment for life, or imprisonment up to ten years, and fine."
"461","Dishonestly breaking open receptacle containing property","Whoever dishonestly breaks open any container containing property, shall be punished.","Breaking open a locked box or cupboard to steal what is inside.","Imprisonment up to two years, or fine, or both."
"462","Punishment for same offence when committed by person entrusted with custody","If the offender is entrusted with the custody of the container he breaks open, the punishment is higher.","A bank employee breaking open a safe they are supposed to guard.","Imprisonment up to three years and fine."
"463","Forgery","Whoever makes any false document or electronic record with intent to cause damage or injury, is said to commit forgery.","Creating a fake contract or will.","Punishment as per Section 465."
"464","Making a false document","A person is said to make a false document if he makes a document that purports to be made by someone else, or by a fictitious person, or if he alters a document without authority.","Signing someone else's name on a check.","Punishment as per Section 465."
"465","Punishment for forgery","Whoever commits forgery shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.","Forging a signature on a document.","Imprisonment up to two years, or fine, or both."
"466","Forgery of record of Court or of public register, etc.","Whoever forges a document which is a record of a Court or a public register, shall be punished.","Forging a court judgment or a land record.","Imprisonment up to seven years and fine."
"467","Forgery of valuable security, will, etc.","Whoever forges a valuable security, a will, or an authority to adopt a son, shall be punished.","Forging a promissory note or a will.","Imprisonment for life, or imprisonment up to ten years, and fine."
"468","Forgery for purpose of cheating","Whoever commits forgery, intending that the document forged shall be used for the purpose of cheating, shall be punished.","Creating a fake degree certificate to get a job.","Imprisonment up to seven years and fine."
"469","Forgery for purpose of harming reputation","Whoever commits forgery, intending that the document forged shall harm the reputation of any person, shall be punished.","Creating a fake letter to damage someone's character.","Imprisonment up to three years and fine."
"470","Forged document or electronic record","A forged document or electronic record is one that is forged within the meaning of this Code.","Defines forged document for subsequent sections.","Not a penal section; it is a definition clause."
"471","Using as genuine a forged document or electronic record","Whoever fraudulently or dishonestly uses as genuine any document which he knows to be forged, shall be punished.","Using a forged passport to travel.","Punished as for forgery of such document."
"472","Making or possessing counterfeit seal, etc., with intent to commit forgery","Whoever makes or possesses any die or instrument for the purpose of forging, shall be punished.","Making a fake rubber stamp of a government office.","Imprisonment up to seven years and fine."
"473","Making or possessing counterfeit seal, etc., with intent to commit forgery","Whoever makes or possesses any such die or instrument knowing it to be counterfeit, shall be punished.","Possessing equipment to forge documents.","Imprisonment up to seven years and fine."
"474","Having possession of document described in section 466 or 467, knowing it to be forged","Whoever has in his possession a forged document described in Section 466 or 467, knowing it to be forged, shall be punished.","Being in possession of a forged will or valuable security.","Imprisonment up to seven years and fine."
"475","Counterfeiting device or mark used for authenticating documents","Whoever counterfeits any device or mark used for authenticating documents, shall be punished.","Copying a hologram or official seal used on documents.","Imprisonment for life, or imprisonment up to seven years, and fine."
"476","Counterfeiting device or mark used for authenticating documents","Whoever counterfeits any such device or mark with intent to commit forgery, shall be punished.","Creating a fake official stamp.","Imprisonment up to seven years and fine."
"477","Fraudulent cancellation, destruction, etc., of will, etc.","Whoever fraudulently cancels, destroys, or defaces a will or other valuable security, shall be punished.","Destroying a will to prevent someone from inheriting.","Imprisonment for life, or imprisonment up to seven years, and fine."
"477A","Falsification of accounts","Whoever, being a clerk or officer, falsifies any account, shall be punished.","An accountant cooking the books to hide embezzlement.","Imprisonment up to seven years, or fine, or both."
"478","[Repealed]","[Repealed]","[Repealed]","[Repealed]"
"479","[Repealed]","[Repealed]","[Repealed]","[Repealed]"
"480","[Repealed]","[Repealed]","[Repealed]","[Repealed]"
"481","[Repealed]","[Repealed]","[Repealed]","[Repealed]"
"482","[Repealed]","[Repealed]","[Repealed]","[Repealed]"
"483","[Repealed]","[Repealed]","[Repealed]","[Repealed]"
"484","[Repealed]","[Repealed]","[Repealed]","[Repealed]"
"485","[Repealed]","[Repealed]","[Repealed]","[Repealed]"
"486","[Repealed]","[Repealed]","[Repealed]","[Repealed]"
"487","[Repealed]","[Repealed]","[Repealed]","[Repealed]"
"488","[Repealed]","[Repealed]","[Repealed]","[Repealed]"
"489","[Repealed]","[Repealed]","[Repealed]","[Repealed]"
"489A","Counterfeiting currency-notes or bank-notes","Whoever counterfeits any currency-note or bank-note, shall be punished.","Printing fake Indian rupee notes.","Imprisonment for life, or imprisonment up to ten years, and fine."
"489B","Using as genuine, forged or counterfeit currency-notes or bank-notes","Whoever sells to, or buys from, any person, or uses as genuine, any forged or counterfeit currency-note, shall be punished.","Using counterfeit money to make a purchase.","Imprisonment for life, or imprisonment up to ten years, and fine."
"489C","Possession of forged or counterfeit currency-notes or bank-notes","Whoever has in his possession any forged or counterfeit currency-note, shall be punished.","Being in possession of fake currency.","Imprisonment up to seven years, or fine, or both."
"489D","Making or possessing instruments or materials for forging or counterfeiting currency-notes or bank-notes","Whoever makes or possesses any instrument or material for the purpose of counterfeiting currency, shall be punished.","Having printing plates and paper to make fake notes.","Imprisonment for life, or imprisonment up to ten years, and fine."
"489E","Making or using documents resembling currency-notes or bank-notes","Whoever makes or uses any document resembling a currency-note, shall be punished.","Creating movie prop money that looks too real.","Fine up to one hundred rupees."
"490","[Repealed]","[Repealed]","[Repealed]","[Repealed]"
"491","Breach of contract to attend on and supply wants of helpless person","Whoever, being bound by a contract to attend on a helpless person, fails to do so, shall be punished.","A nurse under contract abandons a bedridden patient.","Imprisonment up to three months, or fine up to two hundred rupees, or both."
"492","[Repealed]","[Repealed]","[Repealed]","[Repealed]"
"493","Cohabitation caused by a man deceitfully inducing a belief of lawful marriage","Whoever, by deceit, induces a woman to have sexual intercourse with him by pretending to be married to her, shall be punished.","A man fake marries a woman to have sex with her.","Imprisonment up to ten years and fine."
"494","Marrying again during lifetime of husband or wife","Whoever, having a husband or wife living, marries again, shall be punished.","A person commits bigamy by marrying a second time without divorcing their first spouse.","Imprisonment up to seven years and fine."
"495","Same offence with concealment of former marriage from person with whom subsequent marriage is contracted","Whoever commits the offence defined in the last preceding section and conceals the former marriage from the new spouse, shall be punished.","Committing bigamy and hiding the existence of the first wife/husband.","Imprisonment up to ten years and fine."
"496","Marriage ceremony fraudulently gone through without lawful marriage","Whoever, dishonestly or with a fraudulent intention, goes through a marriage ceremony knowing that it is not a legal marriage, shall be punished.","Performing a fake marriage ceremony to deceive someone.","Imprisonment up to seven years and fine."
"497","Adultery","Whoever has sexual intercourse with a person who is and whom he knows to be the wife of another man, without the consent of that man, commits adultery.","A man has an affair with a married woman.","Imprisonment up to five years, or fine, or both. (Note: Struck down by the Supreme Court in 2018)"
"498","Enticing or taking away or detaining with criminal intent a married woman","Whoever takes or entices away a married woman with the intent that she may have illicit intercourse, shall be punished.","Running away with a married woman to have an affair.","Imprisonment up to two years, or fine, or both."
"498A","Cruelty by husband or relatives of husband","Whoever, being the husband or a relative of the husband, subjects a woman to cruelty, shall be punished.","Harassing a wife for dowry; mental or physical abuse by in-laws.","Imprisonment up to three years and fine."
"499","Defamation","Whoever, by words, signs, or visible representations, makes any imputation concerning any person intending to harm their reputation, is said to defame that person.","Spreading false rumors about someone's character.","Punishment as per Section 500."
"500","Punishment for defamation","Whoever defames another shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both.","Libel or slander that damages a person's reputation.","Simple imprisonment up to two years, or fine, or both."
