section_number,section_title,description,example_use_cases,punishment
392,Offences Against Property - Section 392,"Provision under Section 392 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
393,Offences Against Property - Section 393,"Provision under Section 393 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
394,Offences Against Property - Section 394,"Provision under Section 394 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
395,Offences Against Property - Section 395,"Provision under Section 395 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
396,Offences Against Property - Section 396,"Provision under Section 396 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
397,Offences Against Property - Section 397,"Provision under Section 397 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
398,Offences Against Property - Section 398,"Provision under Section 398 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
399,Offences Against Property - Section 399,"Provision under Section 399 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
400,Offences Against Property - Section 400,"Provision under Section 400 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
401,Offences Against Property - Section 401,"Provision under Section 401 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
402,Offences Against Property - Section 402,"Provision under Section 402 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
403,Offences Against Property - Section 403,"Provision under Section 403 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
404,Offences Against Property - Section 404,"Provision under Section 404 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
405,Offences Against Property - Section 405,"Provision under Section 405 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
406,Offences Against Property - Section 406,"Provision under Section 406 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
407,Offences Against Property - Section 407,"Provision under Section 407 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
408,Offences Against Property - Section 408,"Provision under Section 408 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
409,Offences Against Property - Section 409,"Provision under Section 409 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
410,Offences Against Property - Section 410,"Provision under Section 410 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
411,Offences Against Property - Section 411,"Provision under Section 411 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
412,Offences Against Property - Section 412,"Provision under Section 412 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
413,Offences Against Property - Section 413,"Provision under Section 413 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
414,Offences Against Property - Section 414,"Provision under Section 414 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
415,Offences Against Property - Section 415,"Provision under Section 415 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
416,Offences Against Property - Section 416,"Provision under Section 416 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
417,Offences Against Property - Section 417,"Provision under Section 417 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
418,Offences Against Property - Section 418,"Provision under Section 418 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
419,Offences Against Property - Section 419,"Provision under Section 419 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
420,Offences Against Property - Section 420,"Provision under Section 420 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
421,Offences Against Property - Section 421,"Provision under Section 421 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
422,Offences Against Property - Section 422,"Provision under Section 422 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
423,Offences Against Property - Section 423,"Provision under Section 423 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
424,Offences Against Property - Section 424,"Provision under Section 424 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
425,Offences Against Property - Section 425,"Provision under Section 425 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
426,Offences Against Property - Section 426,"Provision under Section 426 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
427,Offences Against Property - Section 427,"Provision under Section 427 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
428,Offences Against Property - Section 428,"Provision under Section 428 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
429,Offences Against Property - Section 429,"Provision under Section 429 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
430,Offences Against Property - Section 430,"Provision under Section 430 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
431,Offences Against Property - Section 431,"Provision under Section 431 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
432,Offences Against Property - Section 432,"Provision under Section 432 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
433,Offences Against Property - Section 433,"Provision under Section 433 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
434,Offences Against Property - Section 434,"Provision under Section 434 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
435,Offences Against Property - Section 435,"Provision under Section 435 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
436,Offences Against Property - Section 436,"Provision under Section 436 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
437,Offences Against Property - Section 437,"Provision under Section 437 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
438,Offences Against Property - Section 438,"Provision under Section 438 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
439,Offences Against Property - Section 439,"Provision under Section 439 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
440,Offences Against Property - Section 440,"Provision under Section 440 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
441,Offences Against Property - Section 441,"Provision under Section 441 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
442,Offences Against Property - Section 442,"Provision under Section 442 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
443,Offences Against Property - Section 443,"Provision under Section 443 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
444,Offences Against Property - Section 444,"Provision under Section 444 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
445,Offences Against Property - Section 445,"Provision under Section 445 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
446,Offences Against Property - Section 446,"Provision under Section 446 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
447,Offences Against Property - Section 447,"Provision under Section 447 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
448,Offences Against Property - Section 448,"Provision under Section 448 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
449,Offences Against Property - Section 449,"Provision under Section 449 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
450,Offences Against Property - Section 450,"Provision under Section 450 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
451,Offences Against Property - Section 451,"Provision under Section 451 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
452,Offences Against Property - Section 452,"Provision under Section 452 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
453,Offences Against Property - Section 453,"Provision under Section 453 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
454,Offences Against Property - Section 454,"Provision under Section 454 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
455,Offences Against Property - Section 455,"Provision under Section 455 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
456,Offences Against Property - Section 456,"Provision under Section 456 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
457,Offences Against Property - Section 457,"Provision under Section 457 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
458,Offences Against Property - Section 458,"Provision under Section 458 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
459,Offences Against Property - Section 459,"Provision under Section 459 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
460,Offences Against Property - Section 460,"Provision under Section 460 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
461,Offences Against Property - Section 461,"Provision under Section 461 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
462,Offences Against Property - Section 462,"Provision under Section 462 of the Indian Penal Code dealing with theft, robbery, cheating, and property crimes. This section addresses crimes involving unlawful taking or damaging of property.","Theft, robbery, burglary, cheating, criminal breach of trust, mischief.","Imprisonment up to 7 years and fines, life imprisonment for aggravated cases."
463,Relating to Documents and Property Marks - Section 463,Provision under Section 463 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
464,Relating to Documents and Property Marks - Section 464,Provision under Section 464 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
465,Relating to Documents and Property Marks - Section 465,Provision under Section 465 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
466,Relating to Documents and Property Marks - Section 466,Provision under Section 466 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
467,Relating to Documents and Property Marks - Section 467,Provision under Section 467 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
468,Relating to Documents and Property Marks - Section 468,Provision under Section 468 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
469,Relating to Documents and Property Marks - Section 469,Provision under Section 469 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
470,Relating to Documents and Property Marks - Section 470,Provision under Section 470 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
471,Relating to Documents and Property Marks - Section 471,Provision under Section 471 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
472,Relating to Documents and Property Marks - Section 472,Provision under Section 472 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
473,Relating to Documents and Property Marks - Section 473,Provision under Section 473 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
474,Relating to Documents and Property Marks - Section 474,Provision under Section 474 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
475,Relating to Documents and Property Marks - Section 475,Provision under Section 475 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
476,Relating to Documents and Property Marks - Section 476,Provision under Section 476 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
477,Relating to Documents and Property Marks - Section 477,Provision under Section 477 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
478,Relating to Documents and Property Marks - Section 478,Provision under Section 478 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
479,Relating to Documents and Property Marks - Section 479,Provision under Section 479 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
480,Relating to Documents and Property Marks - Section 480,Provision under Section 480 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
481,Relating to Documents and Property Marks - Section 481,Provision under Section 481 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
482,Relating to Documents and Property Marks - Section 482,Provision under Section 482 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
483,Relating to Documents and Property Marks - Section 483,Provision under Section 483 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
484,Relating to Documents and Property Marks - Section 484,Provision under Section 484 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
485,Relating to Documents and Property Marks - Section 485,Provision under Section 485 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
486,Relating to Documents and Property Marks - Section 486,Provision under Section 486 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
487,Relating to Documents and Property Marks - Section 487,Provision under Section 487 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
488,Relating to Documents and Property Marks - Section 488,Provision under Section 488 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
489,Relating to Documents and Property Marks - Section 489,Provision under Section 489 of the Indian Penal Code dealing with forgery and fraudulent documentation. This section deals with crimes involving false or forged documents.,"Forgery, using forged documents, tampering with property marks, counterfeiting.",Imprisonment up to 7 years and fines.
490,Relating to Marriage - Section 490,Provision under Section 490 of the Indian Penal Code dealing with bigamy and marriage-related offences. This section addresses offences related to marriage laws.,"Bigamy, marrying during subsistence of prior marriage, fraudulent marriage ceremonies.",Imprisonment up to 7 years and fines.
491,Relating to Marriage - Section 491,Provision under Section 491 of the Indian Penal Code dealing with bigamy and marriage-related offences. This section addresses offences related to marriage laws.,"Bigamy, marrying during subsistence of prior marriage, fraudulent marriage ceremonies.",Imprisonment up to 7 years and fines.
492,Relating to Marriage - Section 492,Provision under Section 492 of the Indian Penal Code dealing with bigamy and marriage-related offences. This section addresses offences related to marriage laws.,"Bigamy, marrying during subsistence of prior marriage, fraudulent marriage ceremonies.",Imprisonment up to 7 years and fines.
493,Cruelty by Husband or Relatives - Section 493,Provision under Section 493 of the Indian Penal Code dealing with domestic violence and dowry-related crimes. This section protects women from domestic violence and dowry harassment.,"Domestic violence, dowry death, cruelty by husband or in-laws, mental torture.",Imprisonment up to 3 years and fines.
494,Cruelty by Husband or Relatives - Section 494,Provision under Section 494 of the Indian Penal Code dealing with domestic violence and dowry-related crimes. This section protects women from domestic violence and dowry harassment.,"Domestic violence, dowry death, cruelty by husband or in-laws, mental torture.",Imprisonment up to 3 years and fines.
